Año,Mes,Estación_Nominal,Estación_Ordinal,Periodo,Fecha,Provincia,Tipo alojamiento,Subtipo alojamiento,Viajeros,Viajeros españoles,Viajeros extranjeros,Pernoctaciones,Pernoctaciones españoles,Pernoctaciones extranjeros,Grado ocupación,Estancia media,provincia_abreviado,Estancia media españoles,Estancia media extranjeros
2016,Mayo,Primavera,1,Mensual,2016-05,Valladolid,Camping,Camping,2226,464,1762,3678,974,2704,9.51,1.65,VA,2.10,552.78
2016,Mayo,Primavera,1,Mensual,2016-05,Valladolid,Todos alojamientos,Todos,75420,59219,16201,123296,96645,26651,30.93,1.63,VA,1.63,5.97
2016,Mayo,Primavera,1,Mensual,2016-05,Valladolid,Turismo rural,Turismo rural,5066,3757,1309,7996,6120,1876,13.82,1.58,VA,1.63,4.68
2016,Mayo,Primavera,1,Mensual,2016-05,Zamora,Camping,Camping,706,410,296,1034,493,541,1.41,1.46,ZA,1.20,1.67
2016,Mayo,Primavera,1,Mensual,2016-05,Zamora,Todos alojamientos,Todos,30888,27041,3847,44626,39749,4877,16.99,1.44,ZA,1.47,10.33
2016,Mayo,Primavera,1,Mensual,2016-05,Zamora,Turismo rural,Turismo rural,5882,5585,297,10002,9669,333,14.7,1.7,ZA,1.73,0.03
2016,Junio,Verano,2,Mensual,2016-06,Ávila,Camping,Camping,2883,2691,192,5805,5390,415,3.55,2.01,AV,2.00,0.03
2016,Junio,Verano,2,Mensual,2016-06,Ávila,Todos alojamientos,Todos,61362,52976,8386,98756,86455,12301,18.86,1.61,AV,1.63,10.31
2019,Marzo,,Otro,Mensual,2019-03,León,Hoteles,,,,,,,,,,,,
2019,Marzo,,Otro,Mensual,2019-03,Soria,Hoteles,,,,,,,,,,,,
2019,Marzo,,Otro,Mensual,2019-03,Palencia,Hoteles,,,,,,,,,,,,
2019,Marzo,,Otro,Mensual,2019-03,Soria,Hoteles,,,,,,,,,,,,
2016,Junio,Verano,2,Mensual,2016-06,Ávila,Turismo rural,Turismo rural,16595,16157,438,34473,33795,678,18.18,2.08,AV,2.09,0.08
2016,Junio,Verano,2,Mensual,2016-06,Burgos,Camping,Camping,7714,2033,5681,13357,4488,8869,8.15,1.73,BU,2.21,0.79
2016,Junio,Verano,2,Mensual,2016-06,Burgos,Todos alojamientos,Todos,119268,73354,45914,178785,117458,61327,27.74,1.5,BU,1.60,2.56
2016,Junio,Verano,2,Mensual,2016-06,Burgos,Turismo rural,Turismo rural,9420,7147,2273,17131,13653,3478,13.25,1.82,BU,1.91,6.01
2016,Junio,Verano,2,Mensual,2016-06,León,Camping,Camping,7574,6078,1496,22772,19915,2857,11.19,3.01,LE,3.28,13.31
2016,Junio,Verano,2,Mensual,2016-06,León,Todos alojamientos,Todos,121018,81568,39450,191077,139894,51183,25.7,1.58,LE,1.72,3.55
2016,Junio,Verano,2,Mensual,2016-06,León,Turismo rural,Turismo rural,11668,7957,3711,18020,13740,4280,13.25,1.54,LE,1.73,3.70
2016,Junio,Verano,2,Mensual,2016-06,Palencia,Camping,Camping,423,360,63,969,833,136,2.48,2.29,PA,2.31,13.22
2016,Junio,Verano,2,Mensual,2016-06,Palencia,Todos alojamientos,Todos,31604,24308,7296,50383,40673,9710,23.46,1.59,PA,1.67,5.57
2016,Junio,Verano,2,Mensual,2016-06,Palencia,Turismo rural,Turismo rural,4061,3587,474,6809,6173,636,11.21,1.68,PA,1.72,0.01
2016,Junio,Verano,2,Mensual,2016-06,Salamanca,Camping,Camping,4644,2136,2508,10837,4706,6131,7.5,2.33,SA,2.20,1.88
2016,Junio,Verano,2,Mensual,2016-06,Salamanca,Todos alojamientos,Todos,108920,75328,33592,197430,144338,53092,30.92,1.81,SA,1.92,4.30
2016,Junio,Verano,2,Mensual,2016-06,Salamanca,Turismo rural,Turismo rural,8930,8069,861,16672,15193,1479,13.13,1.87,SA,1.88,0.02
2016,Junio,Verano,2,Mensual,2016-06,Segovia,Camping,Camping,1897,860,1037,2901,1628,1273,5.1,1.53,SE,0.00,1.57
2016,Junio,Verano,2,Mensual,2016-06,Segovia,Todos alojamientos,Todos,56307,42368,13939,86973,66452,20521,23.31,1.54,SE,1.57,4.77
2016,Junio,Verano,2,Mensual,2016-06,Segovia,Turismo rural,Turismo rural,8571,7492,1079,15998,13926,2072,13.22,1.87,SE,1.86,12.91
2016,Junio,Verano,2,Mensual,2016-06,Soria,Camping,Camping,2103,1736,367,6288,5450,838,5.42,2.99,SO,3.14,0.01
2016,Junio,Verano,2,Mensual,2016-06,Soria,Todos alojamientos,Todos,33913,30486,3427,59528,53926,5602,17.15,1.76,SO,1.77,15.74
2016,Junio,Verano,2,Mensual,2016-06,Soria,Turismo rural,Turismo rural,5633,5356,277,11337,10599,738,11.42,2.01,SO,1.98,0.04
2016,Junio,Verano,2,Mensual,2016-06,Valladolid,Camping,Camping,2638,528,2110,3599,1356,2243,9.93,1.36,VA,0.00,0.64
2016,Junio,Verano,2,Mensual,2016-06,Valladolid,Todos alojamientos,Todos,81653,63974,17679,123743,95507,28236,32.17,1.52,VA,1.49,5.40
2019,Abril,,Otro,Mensual,2019-04,León,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Palencia,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Soria,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Burgos,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Palencia,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Salamanca,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Segovia,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Soria,Hoteles,,,,,,,,,,,,
2019,Abril,,Otro,Mensual,2019-04,Valladolid,Hoteles,,,,,,,,,,,,
2016,Junio,Verano,2,Mensual,2016-06,Valladolid,Turismo rural,Turismo rural,4266,3493,773,6225,5218,1007,11.08,1.46,VA,1.49,0.01
2016,Junio,Verano,2,Mensual,2016-06,Zamora,Camping,Camping,941,555,386,1591,988,603,2.31,1.69,ZA,1.78,2.56
2016,Junio,Verano,2,Mensual,2016-06,Zamora,Todos alojamientos,Todos,36279,31496,4783,51477,45492,5985,20.47,1.42,ZA,1.44,9.51
